"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
1.44	0.16	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.53	0.17	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.62	0.18	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.71	0.19	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.8	0.2	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.89	0.21	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
1.98	0.22	52.6467065868263	52.6467065868263	0.811871980827082	0.867108105840582	0.3171488348604	9	2.50338050314465	4396	1.29124761729007	3.86743887245258	0.416861417217696	0.0799735811606344
2.07	0.23	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.16	0.24	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.25	0.25	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.34	0.26	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.43	0.27	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.52	0.28	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.61	0.29	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.7	0.3	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.79	0.31	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.88	0.32	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
2.97	0.33	88.502994011976	88.5029940119761	0.834755148311061	0.866163339457091	0.533150566337205	5	1.549963045085	7390	1.14163557379741	3.86181847717486	0.232043763408318	0.0264023493056825
3.06	0.34	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.15	0.35	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.24	0.36	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.33	0.37	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.42	0.38	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.51	0.39	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.6	0.4	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.69	0.41	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.78	0.42	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.87	0.43	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
3.96	0.44	124.658682634731	124.658682634731	0.876145654334316	0.893980058394663	0.750955919486329	3	1.25611427746916	10409	1.06059673267434	3.83474118729246	0.0365366045529268	0.0113774214655073
4.05	0.45	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.14	0.46	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
