"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
11.7	0.1	10.502994011976	10.502994011976	0.97140260103482	0.969740733231991	0.0632710482649159	2	1.05901287553648	877	2.17633204962265	3.8499348648057	0.963126581987895	0.972701702358854
12.87	0.11	10.8622754491018	10.8622754491018	0.979453870625663	0.97946382055932	0.0654353942716976	2	1.02682403433476	907	2.14564322514671	3.77711813936099	0.980535207384775	0.969411447294349
14.04	0.12	11.1976047904192	11.1976047904192	0.993125835401948	0.977986414464848	0.0674554505446937	3	1.01685985247629	935	2.11863808822349	3.39429351498433	0.994776207436068	0.96838187162895
15.21	0.13	11.2694610778443	11.2694610778443	0.994554894263644	0.977335846619349	0.0678883197460501	3	1.01469045120672	941	2.11304289324804	3.41734341187734	0.996927719227425	0.962199503539144
16.38	0.14	11.3293413173653	11.3293413173653	0.994264103372203	0.978527897645544	0.0682490440805137	3	1.04781281790437	946	2.10842975140296	3.33023761656724	0.9966080429065	0.960432068428262
17.55	0.15	11.4011976047904	11.4011976047904	0.99549887471868	0.985004459346564	0.06868191328187	3	1.33276450511945	952	2.10295234084828	3.31262108570559	0.996764357435569	0.958827091082087
18.72	0.16	11.6407185628743	11.6407185628743	0.990827382418124	0.958386958386958	0.0701248106197244	4	1.37156704361874	972	2.0851394117985	3.38601929650963	0.994276410570284	0.957758414636796
19.89	0.17	11.7964071856287	11.7964071856287	0.989769820971867	0.959834834834835	0.0710626938893298	4	1.3513731825525	985	2.07391367317693	3.45734048538681	0.992667018544777	0.958261650719933
21.06	0.18	13.4251497005988	13.4251497005988	0.953600226340359	0.958586611304002	0.0808743957867398	3	1.10420032310178	1121	1.97063459428485	3.85305378752802	0.923695341471446	0.939462617717867
22.23	0.19	13.9281437125749	13.9281437125748	0.971555323590814	0.963026839233736	0.083904480196234	3	1.09270998415214	1163	1.94311531434082	3.87853042503391	0.953293952908564	0.934920786441035
23.4	0.2	14.2994011976048	14.2994011976048	0.981081081081081	0.959269772200807	0.0861409710699084	3	1.0734375	1194	1.92390039557318	3.89989520373926	0.97764934173345	0.929469701444743
24.57	0.21	14.5269461077844	14.5269461077844	0.983656792645557	0.965873589810042	0.0875117235408701	3	1.05546875	1213	1.91254997000139	3.83874972227292	0.978668746142808	0.925767763987671
25.74	0.22	14.7185628742515	14.7185628742515	0.982435644362084	0.962503400528553	0.0886660414111536	3	1.3925	1229	1.90322999299256	3.81600161177819	0.975840403083873	0.917933159378845
26.91	0.23	14.9461077844311	14.9461077844311	0.972183917103345	0.964593532043527	0.0900367938821153	4	1.42280701754386	1248	1.89243361013064	4.07892928259386	0.964832815369494	0.913977708083791
28.08	0.24	15.9760479041916	15.9760479041916	0.945118955716191	0.940309498742084	0.0962412524348893	4	1.44088797108931	1334	1.84692403141041	4.05949589201132	0.914029242688311	0.889387222688379
29.25	0.25	16.7305389221557	16.7305389221557	0.930946542422756	0.930357220816572	0.100786379049131	4	1.43852065321806	1397	1.81667219488936	4.05160798312811	0.871896101858364	0.847359896697008
30.42	0.26	17.4131736526946	17.4131736526946	0.928030534351145	0.935815961081946	0.104898636462016	3	1.37175792507205	1454	1.79124506572998	4.18480858755936	0.812167646273721	0.824838113595272
31.59	0.27	18.4311377245509	18.4311377245509	0.924784940230142	0.931864616790771	0.111030950147897	5	2.04889298892989	1539	1.75632152422524	4.34536260747823	0.760895804526024	0.759514260897753
32.76	0.28	19.2095808383234	19.2095808383234	0.932375449008277	0.937265678673173	0.115720366495924	6	2.1040763226366	1604	1.73173782081572	4.10536935019532	0.733627142958384	0.714295913586894
33.93	0.29	19.6047904191617	19.6047904191617	0.93375149940024	0.944297599577524	0.118101147103384	5	2.00954032957502	1637	1.71988662651328	3.95462778551253	0.67841087202843	0.695978879956493
35.1	0.3	20.4191616766467	20.4191616766467	0.881878193245015	0.934025405467907	0.123006998052089	5	2.31148121899362	1705	1.69668103330237	4.10935065913296	0.467025131996233	0.677201508741625
36.27	0.31	21.0538922155689	21.0538922155689	0.856343757945589	0.919937634246257	0.126830675997403	5	2.18349273822175	1758	1.67963580361131	4.21877341231975	0.385445074052502	0.658471670438761
37.44	0.32	21.8083832335329	21.8083832335329	0.826257769438255	0.921557245090163	0.131375802611644	5	2.08041091037903	1821	1.66044934998088	4.30411600452858	0.329361498518377	0.640255777508776
38.61	0.33	22.8622754491018	22.8622754491018	0.802771517115087	0.915263717212459	0.137724550898204	5	2.03719447396387	1909	1.63540921027099	4.27869706036015	0.290639914515637	0.605317281858622
39.78	0.34	24.1077844311377	24.1077844311377	0.784541430679168	0.89871625023145	0.145227617055047	5	1.97409504203122	2013	1.60815015201551	4.48213461419825	0.257731383371827	0.559639702013855
40.95	0.35	25.3053892215569	25.3053892215569	0.774829883246186	0.89624958604524	0.152442103744319	5	1.92451535426317	2113	1.58401927361158	4.62484829437683	0.267521345368339	0.526529799463384
42.12	0.36	28.2634730538922	28.2634730538922	0.753198777580011	0.889510232535457	0.170261885866821	4	1.75455158462576	2360	1.53161340470443	4.88287335716068	0.286325926499716	0.469492177833058
43.29	0.37	29.9520958083832	29.9520958083832	0.745320259773335	0.887207579305291	0.180434312098694	4	1.69082939986514	2501	1.50546972223782	4.86428301699404	0.276016638538368	0.442518041452745
44.46	0.38	31.2215568862275	31.2215568862275	0.744162162162162	0.885951058956429	0.188081667989323	4	1.66832339297548	2607	1.48730950880549	4.72010026164332	0.281764786373915	0.421745338737548
45.63	0.39	32.4790419161677	32.4790419161677	0.74408402790998	0.887039899430768	0.195656879013058	4	1.64347249834327	2712	1.47043645903075	4.71880726669845	0.284333337770374	0.400097224647312
46.8	0.4	34.4191616766467	34.4191616766467	0.751526731581848	0.885810572117307	0.207344347449679	4	1.60735586481113	2874	1.44632746886404	4.96784214322412	0.328906876595975	0.387978760800336
