"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
0	0	2.93413173652695	2.93413173652695	1	1	0.0176754923887165	1	1	245	4.75468112174647	2.70524827260512	1	0.977058851069807
0.26	0.01	2.93413173652695	2.93413173652695	1	1	0.0176754923887165	1	1	245	4.75468112174647	2.70524827260512	1	0.977058851069807
0.52	0.02	2.93413173652695	2.93413173652695	1	1	0.0176754923887165	1	1	245	4.75468112174647	2.70524827260512	1	0.977058851069807
0.78	0.03	2.93413173652695	2.93413173652695	1	1	0.0176754923887165	1	1	245	4.75468112174647	2.70524827260512	1	0.977058851069807
1.04	0.04	6.64670658682635	6.64670658682635	0.87059007180768	0.899675346583242	0.0400404011254599	3	1.25385694249649	555	2.70204095215208	3.85077690791927	0.783645277028988	0.968697454553145
1.3	0.05	6.64670658682635	6.64670658682635	0.87059007180768	0.899675346583242	0.0400404011254599	3	1.25385694249649	555	2.70204095215208	3.85077690791927	0.783645277028988	0.968697454553145
1.56	0.06	6.64670658682635	6.64670658682635	0.87059007180768	0.899675346583242	0.0400404011254599	3	1.25385694249649	555	2.70204095215208	3.85077690791927	0.783645277028988	0.968697454553145
1.82	0.07	6.64670658682635	6.64670658682635	0.87059007180768	0.899675346583242	0.0400404011254599	3	1.25385694249649	555	2.70204095215208	3.85077690791927	0.783645277028988	0.968697454553145
2.08	0.08	8.94610778443114	8.94610778443114	0.944781208562228	0.921916162842496	0.0538922155688623	4	1.27125941872982	747	2.33568386173302	3.98251483268122	0.943283361353201	0.900206865003381
2.34	0.09	8.94610778443114	8.94610778443114	0.944781208562228	0.921916162842496	0.0538922155688623	4	1.27125941872982	747	2.33568386173302	3.98251483268122	0.943283361353201	0.900206865003381
2.6	0.1	8.94610778443114	8.94610778443114	0.944781208562228	0.921916162842496	0.0538922155688623	4	1.27125941872982	747	2.33568386173302	3.98251483268122	0.943283361353201	0.900206865003381
2.86	0.11	8.94610778443114	8.94610778443114	0.944781208562228	0.921916162842496	0.0538922155688623	4	1.27125941872982	747	2.33568386173302	3.98251483268122	0.943283361353201	0.900206865003381
3.12	0.12	10.7065868263473	10.7065868263473	0.945897607869439	0.928635557031082	0.0644975110020922	4	1.3495145631068	894	2.15870851157229	3.9495931040178	0.907344383140885	0.835023221004501
3.38	0.13	10.7065868263473	10.7065868263473	0.945897607869439	0.928635557031082	0.0644975110020922	4	1.3495145631068	894	2.15870851157229	3.9495931040178	0.907344383140885	0.835023221004501
3.64	0.14	10.7065868263473	10.7065868263473	0.945897607869439	0.928635557031082	0.0644975110020922	4	1.3495145631068	894	2.15870851157229	3.9495931040178	0.907344383140885	0.835023221004501
3.9	0.15	10.7065868263473	10.7065868263473	0.945897607869439	0.928635557031082	0.0644975110020922	4	1.3495145631068	894	2.15870851157229	3.9495931040178	0.907344383140885	0.835023221004501
4.16	0.16	13.2814371257485	13.2814371257485	0.90524379024839	0.911491704396479	0.0800086573840271	8	2.32112068965517	1109	1.97883483239375	4.34980156400908	0.779393904349961	0.831991900060345
4.42	0.17	13.2814371257485	13.2814371257485	0.90524379024839	0.911491704396479	0.0800086573840271	8	2.32112068965517	1109	1.97883483239375	4.34980156400908	0.779393904349961	0.831991900060345
4.68	0.18	13.2814371257485	13.2814371257485	0.90524379024839	0.911491704396479	0.0800086573840271	8	2.32112068965517	1109	1.97883483239375	4.34980156400908	0.779393904349961	0.831991900060345
4.94	0.19	13.2814371257485	13.2814371257485	0.90524379024839	0.911491704396479	0.0800086573840271	8	2.32112068965517	1109	1.97883483239375	4.34980156400908	0.779393904349961	0.831991900060345
5.2	0.2	15.5209580838323	15.5209580838323	0.917175572519084	0.923899450891887	0.0934997474929659	6	1.99256505576208	1296	1.86638835699198	4.2742126768251	0.802607634148507	0.80743597760106
5.46	0.21	15.5209580838323	15.5209580838323	0.917175572519084	0.923899450891887	0.0934997474929659	6	1.99256505576208	1296	1.86638835699198	4.2742126768251	0.802607634148507	0.80743597760106
5.72	0.22	15.5209580838323	15.5209580838323	0.917175572519084	0.923899450891887	0.0934997474929659	6	1.99256505576208	1296	1.86638835699198	4.2742126768251	0.802607634148507	0.80743597760106
5.98	0.23	15.5209580838323	15.5209580838323	0.917175572519084	0.923899450891887	0.0934997474929659	6	1.99256505576208	1296	1.86638835699198	4.2742126768251	0.802607634148507	0.80743597760106
6.24	0.24	17.940119760479	17.940119760479	0.893217299267927	0.908810826779511	0.108073010605295	5	2.36511677737304	1498	1.77274808858631	4.25770466630498	0.723540252409837	0.749313807657646
6.5	0.25	17.940119760479	17.940119760479	0.893217299267927	0.908810826779511	0.108073010605295	5	2.36511677737304	1498	1.77274808858631	4.25770466630498	0.723540252409837	0.749313807657646
6.76	0.26	17.940119760479	17.940119760479	0.893217299267927	0.908810826779511	0.108073010605295	5	2.36511677737304	1498	1.77274808858631	4.25770466630498	0.723540252409837	0.749313807657646
7.02	0.27	22.3473053892216	22.3473053892216	0.80616237984879	0.880562402596281	0.134622321621817	6	2.61485699495276	1866	1.64740217613377	4.55961178198702	0.451001763744056	0.603000390326658
7.28	0.28	22.3473053892216	22.3473053892216	0.80616237984879	0.880562402596281	0.134622321621817	6	2.61485699495276	1866	1.64740217613377	4.55961178198702	0.451001763744056	0.603000390326658
7.54	0.29	22.3473053892216	22.3473053892216	0.80616237984879	0.880562402596281	0.134622321621817	6	2.61485699495276	1866	1.64740217613377	4.55961178198702	0.451001763744056	0.603000390326658
